name,imo,country,iso2
SEA STAR MARINE LTD,5711195,Liberia,LR
JULIA MARITIME LTD-MAI,6164166,Marshall Islands,MH
ORION SUN INC,6235289,Liberia,LR
OLDENDORFF DRYBULK GMBH & CO,,Germany,DE
FORTUNE SUQIAN SHIPPING LTD,6232015,Hong Kong,HK
SUN SHIPHOLDING LTD-MAI,5773098,Marshall Islands,MH
AC INTEGRITY SHIPPING CO LTD,6206433,Hong Kong,HK
RED LEAF INTERNATIONAL INC,4066692,Liberia,LR
CRUX MARINE INC,6261886,Liberia,LR
TIFFANY NAVIGATION SA-PAN,5765243,Panama,PA
STAVENTO SHIPPING SA,5895905,Liberia,LR
FORTUNE CHANGLE SHIPPING LTD,6217614,Hong Kong,HK
SNOVER TRADE LTD-MTA,6168858,Malta,MT
HONGKONG XINKAI SHIPPING LTD,6006540,Hong Kong,HK
HONGKONG TENGHUI SHIPPING LTD,6296696,Hong Kong,HK
HONGKONG XINHONG SHIPPING LTD,6105577,Hong Kong,HK
ORIENTAL PHOENIX SHIPPING LTD,6061343,Hong Kong,HK
R&M HG WAVE INC,5663052,Marshall Islands,MH
HELEN SHIPPING CO LTD-HKG,6263803,Hong Kong,HK
SEA SHELTER MARITIME CO SA,4101548,Panama,PA
EMPATI MARITIME SA,6228199,Liberia,LR
HC JANA-ROSA,5875421,Germany,DE
TRIO HAPPINESS/TODA SHIP CO,5743023,Japan,JP
DRAGON SMART LOGISTICS LTD,6167449,Hong Kong,HK
SOC MARINE INTERNATIONAL PAN,6016444,Panama,PA
AURORA ONE SHIPPING LTD,6253767,Marshall Islands,MH
UGAZAN MARITIME LTD,6229166,Marshall Islands,MH
DELIN S,5591807,China,CN
LORA SHIPPING LTD,6136676,Marshall Islands,MH
MINOA MARINE LTD,5865490,Marshall Islands,MH
GOLDENPORT SHIPMANAGEMENT LTD,798451,Greece,GR
UNKNOWN,9991001,,
MARMARAS NAVIGATION LTD,67761,Liberia,LR
HAISTAR MARITIME CO LTD,5295678,Hong Kong,HK
GOODWOOD SHIP MANAGEMENT,5377747,Singapore,SG
OLDENDORFF CARRIERS GMBH & CO,1941881,Germany,DE
ATLANTSKA PLOVIDBA DD,96086,Croatia,HR
LUCK SHIP MANAGEMENT LTD,6102025,Hong Kong,HK
NANJING OCEAN SHIPPING CO LTD,1393349,China,CN
FAFALIOS SHIPPING SA,613613,Panama,PA
RAINBOW MARITIME CO LTD,1321453,Japan,JP
FUJIAN DAQIN INTERNATIONAL,6172339,China,CN
NORFES-MARINE SERVICE CO LTD,1857114,Russia,RU
ZHOUSHAN JINQIAO SHIIPING CO,6260446,China,CN
HONGKONG EVERSTAR MARITIME CO,6103859,Hong Kong,HK
SHINYUAN SHIP MANAGEMENT LTD,6061445,China,CN
SUN ACE SHIPPING CO LTD,1919521,South Korea,KR
VICTORY STAR SHIPMANAGEMENT,6198698,Hong Kong,HK
TOEI KOREA LTD,5773901,South Korea,KR
DALIAN CHUN AN SHIP MGMT CO,5045721,China,CN
DD SHIPPING LTD SA,1991251,Panama,PA
SKY ACE CORPORATION LTD,5913611,Hong Kong,HK
INLACO SAIGON,1666467,Vietnam,VN
SILVER BULK SA,6228185,Marshall Islands,MH
MARLOW SHIP MGMT DEUTSCHLAND,5112029,Germany,DE
SAFE SHIPS LTD,6132903,Marshall Islands,MH
TODA KISEN KK,296139,Japan,JP
DALIAN TRAWIND INTL MANAGEMENT,5119128,China,CN
FIRST MARINE SERVICE CO LTD,523249,Japan,JP
GOLD GLORY INTL SHIP MGMT LTD,4138796,Hong Kong,HK
AURORA SHIPPING LTD-BUL,6256829,Bulgaria,BG
VOLGA SHIPPING JOINT STOCK,555584,Russia,RU
SARFO DENIZCILIK VE TICARET AS,4233931,Turkey,TR
HIGH-RICH SHIPPING CO LTD,5827147,Seychelles,SC
WEIHAI HONGYANG SHIPPING CO,4277961,China,CN